rank,city,state,estimate_population_2018,census_2010,change_in_percentage,land_area_sq_miles_2016,land_area_sq_km_2016,population_density_sq_miles_2016,population_density_sq_km_2016,city_link,area_codes,county,area_land_sq_miles,gov_mayor,area_metro_sq_miles,time_zone_summer_dst,gov_type,area_water_sq_miles,about_city,lattitude,longitude,country
54,Aurora,Colorado,374114,325078,+15.08,153.5  ,397.6 ,2356 ,910,"https://en.wikipedia.org/wiki/Aurora,_Colorado",303/720,arapahoe countyadams countydouglas county,153.52   ,bob legare,2814330 ,utc−6 (mdt),home rule municipality,0.67  ," Aurora  is a Home Rule Municipality in the U.S. state of Colorado, spanning Arapahoe and Adams counties, with the extreme southeastern portion of the city extending into Douglas County. Aurora is one of the principal cities of the Denver-Aurora-Lakewood, CO Metropolitan Statistical Area . The city's population was 325,078 in the 2010 census, which made it the third most populous city in the state of Colorado and the 54th most populous city in the United States.The Denver-Aurora-Lakewood, CO Metropolitan Statistical Area had an estimated population of 2,645,209 on July 1, 2012 .  However, Denver and Aurora combined make up less than half of the Denver Metro Area's population and Aurora has approximately half the population of Denver. The estimated population of the Denver-Aurora, CO Combined Statistical Area was 3,214,218 on July 1, 2012 .",39.6880,-104.6897,USA
55,Anaheim,California,352005,336265,+4.68,50.0  ,129.5 ,7021 ,2711,"https://en.wikipedia.org/wiki/Anaheim,_California",657/714,orange,50.32   ,harry sidhu ,nan,utc−7 (pdt),nan,0.60  ," Anaheim  is a city in Orange County, California, part of the Los Angeles metropolitan area. As of the 2010 United States Census, the city had a population of 336,265, making it the most populous city in Orange County and the 10th-most populous city in California. Anaheim is the second-largest city in Orange County in terms of land area, and is known for being the home of the Disneyland Resort, the Anaheim Convention Center, and two major sports teams: the Anaheim Ducks ice hockey club and the Los Angeles Angels baseball team.Anaheim was founded by fifty German families in 1857 and incorporated as the second city in Los Angeles County on March 18, 1876;  Orange County was split off from Los Angeles County in 1889.  Anaheim remained largely an agricultural community until Disneyland opened in 1955.  This led to the construction of several hotels and motels around the area, and residential districts in Anaheim soon followed.  The city also developed into an industrial center, producing electronics, aircraft parts and canned fruit.  Anaheim is a charter city.",33.8555,-117.7601,USA
56,Honolulu,Hawaii,347397,337256,+3.01,60.5  ,156.7 ,5815 ,2245,https://en.wikipedia.org/wiki/Honolulu,808,honolulu,60.5   ,kirk caldwell ,953207,,nan,7.9  ," Honolulu  is the capital and largest city of the U.S. state of Hawaii. It is an unincorporated part of and the county seat of the City and County of Honolulu along the southeast coast of the island of Oʻahu. The city is the main gateway to Hawaiʻi and a major portal into the United States. The city is also a major hub for international business, military defense, as well as famously being host to a diverse variety of east-west and Pacific culture, cuisine, and traditions.Honolulu is the most remote city of its size in the world and is the westernmost and southernmost major U.S. city. For statistical purposes, the United States Census Bureau recognizes the approximate area commonly referred to as ""City of Honolulu""  as a census county division . Honolulu is a major financial center of the islands and of the Pacific Ocean. The population of the Honolulu census designated place  was 359,870 as of the 2017 population estimate, while the Honolulu CCD was 390,738 and the population of the consolidated city and county was 953,207.",21.3243,-157.8476,USA
57,Santa Ana,California,332725,324528,+2.53,27.1  ,70.2 ,12333 ,4762,"https://en.wikipedia.org/wiki/Santa_Ana,_California",657/714/ 949,orange,27.15   ,miguel a. pulido,nan,utc−7 (pdt),nan,0.25  ," Santa Ana   is the county seat and second most populous city in Orange County, California in the Los Angeles metropolitan area. The United States Census Bureau estimated its 2011 population at 329,427, making Santa Ana the 57th most-populous city in the United States.Santa Ana is in Southern California, adjacent to the Santa Ana River, about 10 miles  from the coast. Founded in 1869, the city is part of the Greater Los Angeles Area, the second largest metropolitan area in the United States, with almost 18 million residents in 2010. Santa Ana is a very densely populated city, ranking fourth nationally in that regard among cities of over 300,000 residents . In 2011, Forbes ranked Santa Ana the fourth-safest city of over 250,000 residents in the United States.",33.7363,-117.8830,USA
58,Riverside,California,330063,303871,+8.62,81.2  ,210.3 ,3999 ,1544,"https://en.wikipedia.org/wiki/Riverside,_California",951,riverside,81.23   ,nan,nan,utc−7 (pdt),council-manager,0.31  ," Riverside is a city in Riverside County, California, United States, located in the Inland Empire metropolitan area. Riverside is the county seat of the eponymous county and named for its location beside the Santa Ana River. It is the most populous city in the Inland Empire and in Riverside County, and is located about 55 miles  east of downtown Los Angeles. It is also part of the Greater Los Angeles area. Riverside is the 59th most populous city in the United States and 12th most populous city in California. As of the 2010 Census, Riverside had a population of 303,871.Riverside was founded in the early 1870s. It is the birthplace of the California citrus industry and home of the Mission Inn, the largest Mission Revival Style building in the United States. It is also home to the Riverside National Cemetery.",33.9381,-117.3932,USA
59,Corpus Christi,Texas,326554,305215,+6.99,174.6  ,452.2 ,1866 ,720,"https://en.wikipedia.org/wiki/Corpus_Christi,_Texas",361,"nueces, kleberg, san patricio, aransas",174.6   ,nan,442600 ,utc−5 (cdt),council-manager government|council-manager,329.0  ," The city's population was estimated to be 320,434 in 2014, making it the eighth-most populous city in Texas. The Corpus Christi metropolitan area had an estimated population of 442,600. It is also the hub of the six-county Corpus Christi-Kingsville-Alice Combined Statistical Area, with a 2013 estimated population of 516,793. The Port of Corpus Christi is the fifth-largest in the United States. The region is served by the Corpus Christi International Airport.The city's name means Body of Christ in Latin. The name was given to the settlement and surrounding bay by Spanish explorer Alonso Álvarez de Pineda in 1519, as he discovered the lush semitropical bay on the Catholic feast day of Corpus Christi. The nickname of the city is ""Sparkling City by the Sea"", particularly featured in tourist literature.", 27.754, -97.1734,USA
60,Lexington,Kentucky,323780,295803,+9.46,283.6  ,734.5 ,1123 ,434,"https://en.wikipedia.org/wiki/Lexington,_Kentucky",859,fayette,284.5   ,linda gorton,512650,utc−4 (edt),nan,1.0  ," Lexington, consolidated with Fayette County and often denoted as Lexington-Fayette, is the second-largest city in Kentucky and the 60th-largest city in the United States. By land area, Lexington is the 28th largest city in the United States. Known as the ""Horse Capital of the World,"" it is the heart of the state's Bluegrass region. It has a nonpartisan mayor-council form of government, with 12 council districts and three members elected at large, with the highest vote-getter designated vice mayor. In the 2018 U.S. Census Estimate, the city's population was 323,780 anchoring a metropolitan area of 516,697 people and a combined statistical area of 746,330 people. Lexington ranks 10th among US cities in college education rate, with 39.5% of residents having at least a bachelor's degree. It is the location of the Kentucky Horse Park, The Red Mile and Keeneland race courses, Rupp Arena, Transylvania University, the University of Kentucky, and Bluegrass Community and Technical College.", 38.040, -84.4583,USA
61,Stockton,California,311178,291707,+6.67,61.7  ,159.8 ,4977 ,1922,"https://en.wikipedia.org/wiki/Stockton,_California",209,san joaquin,61.67   ,michael tubbs ,726126,utc−7 (pdt),city manager-council,3.08  ," Stockton is the county seat of San Joaquin County in the Central Valley of the U.S. state of California. Stockton was founded by Captain Charles Maria Weber in 1849 after he acquired Rancho Campo de los Franceses. The city is named after Robert F. Stockton, and it was the first community in California to have a name not of Spanish or Native American origin. The city is located on the San Joaquin River in the northern San Joaquin Valley and had an estimated population of 320,554 by the California Department of Finance for 2017. Stockton is the 13th largest city in California and the 63rd largest city in the United States. It was named an All-America City in 1999, 2004, 2015 and again in 2017.Built during the California Gold Rush, Stockton's seaport serves as a gateway to the Central Valley and beyond. It provided easy access for trade and transportation to the southern gold mines. The University of the Pacific , chartered in 1851, is the oldest university in California, and has been located in Stockton since 1923. As a result of the 2008 financial crisis, Stockton was the second largest city in the United States to file for bankruptcy protection. Stockton successfully exited bankruptcy in February 2015.",37.9763,-121.3133,USA
62,Henderson,Nevada,310390,257729,+20.43,104.7  ,271.2 ,2798 ,1080,"https://en.wikipedia.org/wiki/Henderson,_Nevada",702/725,clark,107.7   ,debra march ,nan,utc−7 (pdt),council-manager,0.0  ," The township of Henderson first emerged in the 1940s during World War II with the building of the Basic Magnesium Plant. Henderson quickly became the main supplier of magnesium in the United States, which was called the ""miracle metal"" of World War II. The plant supplied the US War Department with magnesium for incendiary munition casings and airplane engines, frames, and other parts. A quarter of all US wartime magnesium came from the Henderson Plant to strengthen aluminum, using 25% of Hoover Dam's power to separate the metal from its ore by electrolysis. Mayor Jim Gibson's grandfather, Fred D. Gibson, was one of the original engineers sent to Great Britain to learn the secret of creating the ""miracle metal"" which would help the United States and its allies win the war. The British liaison officer sent to Henderson, Major Charles Ball, had a street named after him. There was some concern ""Ball St,"" would sound improper, so the street was named ""Major Avenue"".Although ""born in America's defense"", Henderson's future after World War II was uncertain. In 1947, magnesium production was no longer necessary for defense, and most of BMI's 14,000 employees moved away. Enrollment in the school system was reduced by two thirds, and well over half the townsite houses, built to house plant workers, became vacant. In 1947, the United States War Asset Administration offered Henderson for sale as war surplus property.",36.0097,-115.0357,USA
63,Saint Paul,Minnesota,307695,285068,+7.94,52.0  ,134.7 ,5815 ,2245,"https://en.wikipedia.org/wiki/Saint_Paul,_Minnesota",651,ramsey,51.97   ,melvin carter ,3524583 ,utc−5 (cdt),nan,4.20  ," Saint Paul  is the capital and second-most populous city of the U.S. state of Minnesota. As of 2017, the city's estimated population was 309,180. Saint Paul is the county seat of Ramsey County, the smallest and most densely populated county in Minnesota. The city lies mostly on the east bank of the Mississippi River in the area surrounding its point of confluence with the Minnesota River, and adjoins Minneapolis, the state's largest city. Known as the ""Twin Cities"", the two form the core of Minneapolis–Saint Paul, the 16th-largest metropolitan area in the United States, with about 3.6 million residents.Founded near historic Native American settlements as a trading and transportation center, the city rose to prominence when it was named the capital of the Minnesota Territory in 1849. The Dakota name for Saint Paul is ""Imnizaska"". Though Minneapolis  is better-known nationally, Saint Paul contains the state government and other important institutions. Regionally, the city is known for the Xcel Energy Center, home of the Minnesota Wild, and for the Science Museum of Minnesota. As a business hub of the Upper Midwest, it is the headquarters of companies such as Ecolab. Saint Paul, along with its twin city, Minneapolis, is known for its high literacy rate.", 44.948, -93.1041,USA
64,St. Louis,Missouri,302838,319294,−5.15,62.0  ,160.6 ,5023 ,1939,https://en.wikipedia.org/wiki/St._Louis,314,nan,61.9   ,lyda krewson ,2807338 ,utc−5 (cdt),mayor–council government,4.1  ," St. Louis  is a major independent city and inland port in the U.S. state of Missouri. It is situated along the western bank of the Mississippi River, which marks Missouri's border with Illinois. The Missouri River merges with the Mississippi River just north of the city. These two rivers combined form the fourth longest river system in the world. The city had an estimated 2017 population of 308,626 and is the cultural and economic center of the St. Louis metropolitan area , which is the largest metropolitan area in Missouri, the second-largest in Illinois , and the 20th-largest in the United States.Before European settlement, the area was a regional center of Native American Mississippian culture. The city of St. Louis was founded in 1764 by French fur traders Pierre Laclède and Auguste Chouteau, and named after Louis IX of France. In 1764, following France's defeat in the Seven Years' War, the area was ceded to Spain and retroceded back to France in 1800. In 1803, the United States acquired the territory as part of the Louisiana Purchase. During the 19th century, St. Louis became a major port on the Mississippi River; at the time of the 1870 Census it was the fourth-largest city in the country. It separated from St. Louis County in 1877, becoming an independent city and limiting its own political boundaries. In 1904, it hosted the Louisiana Purchase Exposition and the Summer Olympics.", 38.635, -90.2446,USA
65,Cincinnati,Ohio,302605,296943,+1.91,77.4  ,200.5 ,3860 ,1490,https://en.wikipedia.org/wiki/Cincinnati,"513/ 
937",hamilton,201.86  ,john cranley ,2137406 ,utc−4 (edt),mayor–council,4.14 ," Cincinnati  is a major city in the U.S. state of Ohio, and is the government seat of Hamilton County. Settled in 1788, the city is located at the northern side of the confluence of the Licking and Ohio rivers, the latter of which marks the state line with Kentucky. The city drives the Cincinnati–Middletown–Wilmington combined statistical area, which had a population of 2,172,191 in the 2010 census making it Ohio's largest metropolitan area. With a population of 296,943, Cincinnati is the third-largest city in Ohio and 65th in the United States. Its metropolitan area is the fastest growing economic power in the Midwestern United States based on increase of economic output and it is the 28th-largest metropolitan statistical area in the U.S. Cincinnati is also within a day's drive of 49.70% of the United States populace.In the nineteenth century, Cincinnati was an American boomtown in the middle of the country. Throughout much of the 19th century, it was listed among the top 10 U.S. cities by population, surpassed only by New Orleans and the older, established settlements of the United States eastern seaboard, as well as being the sixth-biggest city for a period spanning 1840 until 1860. As Cincinnati was the first city founded after the American Revolution, as well as the first major inland city in the country, it is regarded as the first purely ""American"" city.", 39.140, -84.5058,USA
66,Pittsburgh,Pennsylvania,301048,305704,−1.52,55.4  ,143.5 ,5481 ,2116,https://en.wikipedia.org/wiki/Pittsburgh,412/ 724/ 878,allegheny,55.38   ,bill peduto ,2362453 ,utc−4 (eastern daylight time),mayor-council,2.97  ," Pittsburgh  is a city in the Commonwealth of Pennsylvania in the United States, and is the county seat of Allegheny County. A population of about 301,048 residents live within the city limits, making it the 66th-largest city in the U.S. The metropolitan population of 2,324,743 is the largest in both the Ohio Valley and Appalachia, the second-largest in Pennsylvania , and the 27th-largest in the U.S.Pittsburgh is located in the south west of the state, at the confluence of the Allegheny, Monongahela, and Ohio rivers. Pittsburgh is known both as ""the Steel City"" for its more than 300 steel-related businesses and as the ""City of Bridges"" for its 446 bridges. The city features 30 skyscrapers, two inclined railways, a pre-revolutionary fortification and the Point State Park at the confluence of the rivers. The city developed as a vital link of the Atlantic coast and Midwest, as the mineral-rich Allegheny Mountains made the area coveted by the French and British empires, Virginians, Whiskey Rebels, and Civil War raiders.", 40.439, -79.9766,USA
67,Greensboro,North Carolina,294722,269666,+9.29,128.3  ,332.3 ,2237 ,864,"https://en.wikipedia.org/wiki/Greensboro,_North_Carolina",336,guilford,126.5   ,nancy b. vaughan ,nan,utc−4 (edt),city council,5.3  ," In 1808, ""Greensborough""  was planned around a central courthouse square to succeed Guilford Court House as the county seat. The county courts were thus placed closer to the geographical center of the county, a location more easily reached at the time by the majority of the county's citizens, who depended on horse and foot for travel.In 2003, the previous Greensboro – Winston-Salem – High Point metropolitan statistical area  was re-defined by the U.S. Office of Management and Budget. This region was separated into the Greensboro–High Point MSA and the Winston-Salem MSA. The 2010 population for the Greensboro–High Point MSA was 723,801. The combined statistical area  of Greensboro–Winston-Salem–High Point, popularly referred to as the Piedmont Triad, had a population of 1,599,477.", 36.095, -79.8270,USA
68,Anchorage,Alaska,291538,291826,−0.10,1706.6  ,4420.1 ,175 ,68,"https://en.wikipedia.org/wiki/Anchorage,_Alaska",907,nan,1706.61   ,ethan berkowitz ,399148 ,utc-8 (akdt),nan,256.00  ," Anchorage  is a unified home rule municipality in the U.S. state of Alaska, located in the West Coast of the United States. With an estimated 291,538 residents in 2018, it is Alaska's most populous city and contains more than 40 percent of the state's total population; among the 50 states, only New York has a higher percentage of residents who live in its most populous city. All together, the Anchorage metropolitan area, which combines Anchorage with the neighboring Matanuska-Susitna Borough, had a population of 399,148 in 2018, which accounts for more than half of the state's population. At 1,706 square miles of land area, the city is the fourth largest city by land in the United States and larger than the smallest state, Rhode Island, at 1,212 square miles.Anchorage is in the south-central portion of Alaska, at the terminus of the Cook Inlet, on a peninsula formed by the Knik Arm to the north and the Turnagain Arm to the south. The city limits span 1,961.1 square miles  which encompass the urban core, a joint military base, several outlying communities and almost all of Chugach State Park.",61.1743,-149.2843,USA
69,Plano,Texas,288061,259841,+10.86,71.7  ,185.7 ,3990 ,1540,"https://en.wikipedia.org/wiki/Plano,_Texas",214/ 469/ 972,"collin, denton",71.6   ,nan,7102796 ,utc−5 (cdt),council-manager,0.1  ," Plano  is a city in the U.S. state of Texas, located approximately twenty miles  north of downtown Dallas. The city of Plano is a part of the Dallas-Fort Worth metropolitan area. Plano lies mostly within Collin County, but includes a small portion that extends into Denton County.The city's population was estimated at 286,143 in 2017, making it the ninth most populous city in the state of Texas and the 69th most populous in the United States.  The city is a hub for many corporate headquarters. Plano was also considered to be the safest city in the nation by Forbes in 2011.", 33.050, -96.7479,USA
70,Lincoln,Nebraska,287401,258379,+11.23,92.1  ,238.5 ,3044 ,1175,"https://en.wikipedia.org/wiki/Lincoln,_Nebraska",402/ 531,lancaster,92.913   ,leirion gaylor baird ,331519 ,utc-5 (cdt),strong mayor-council,1.354  ," Lincoln is the capital of the U.S. state of Nebraska and the county seat of Lancaster County. The city covers 94.267 square miles  with a population of 287,401 in 2018. It is the second-most populous city in Nebraska and the 70th-largest in the United States. The city is the economic and cultural anchor of a substantially larger metropolitan area in the southeastern part of the state called the Lincoln Metropolitan and Lincoln-Beatrice Combined Statistical Areas. The statistical area is home to 353,120 people, making it the 106th-largest combined statistical area in the United States.The city was founded in 1856 as the village of Lancaster on the wild salt marshes of what was to become Lancaster County. In 1867, the village of Lancaster became Nebraska's state capital and was renamed Lincoln. The Bertram G. Goodhue-designed state capitol building was completed in 1932 and is the second tallest capitol in the United States. As the city is the seat of government for the state of Nebraska, the state and the United States government are major employers. The University of Nebraska was founded in Lincoln in 1867. The university is the largest in Nebraska with 26,079 students enrolled and is the city's third-largest employer. Other primary employers fall within the service and manufacturing industries, including a growing high-tech sector. The region makes up a part of what is known as the greater Midwest Silicon Prairie.", 40.810, -96.6803,USA
71,Orlando,Florida,285713,238300,+19.90,105.2  ,272.5 ,2635 ,1017,"https://en.wikipedia.org/wiki/Orlando,_Florida",321/ 407,orange,272.51  ,buddy dyer ,2387138 ,utc−4 (edt),mayor–commission,22.10 ," Orlando  is a city in the U.S. state of Florida and the county seat of Orange County. Located in Central Florida, it is the center of the Orlando metropolitan area, which had a population of 2,509,831, according to U.S. Census Bureau figures released in July 2017. These figures make it the 23rd-largest metropolitan area in the United States, the sixth-largest metropolitan area in the Southern United States, and the third-largest metropolitan area in Florida. As of 2015, Orlando had an estimated city-proper population of 280,257, making it the 73rd-largest city in the United States, the fourth-largest city in Florida, and the state's largest inland city.The City of Orlando is nicknamed ""The City Beautiful,"" and its symbol is the fountain at Lake Eola. Orlando is also known as ""The Theme Park Capital of the World"" and in 2018 its tourist attractions and events drew more than 75 million visitors. The Orlando International Airport  is the thirteenth-busiest airport in the United States and the 29th-busiest in the world.", 28.416, -81.2736,USA
72,Irvine,California,282572,212375,+33.05,65.6  ,169.9 ,4057 ,1566,"https://en.wikipedia.org/wiki/Irvine,_California",949/ 657/714,orange,65.58   ,christina l. shea,nan,utc−7 (pdt),council-manager,0.34  ," Irvine  is a master-planned city in Orange County, California, United States in the Los Angeles metropolitan area. The Irvine Company started developing the area in the 1960s and the city was formally incorporated on December 28, 1971. The 66-square-mile  city had a population of 212,375 as of the 2010 census; in 2018 the California Department of Finance estimated the city's population at 276,176.A number of corporations, particularly in the technology and semiconductor sectors, have their national or international headquarters in Irvine. Irvine is also home to several higher education institutions including the University of California, Irvine , Concordia University, Irvine Valley College, the Orange County Center of the University of Southern California , and campuses of California State University Fullerton , University of La Verne, and Pepperdine University.",33.6784,-117.7713,USA
73,Newark,New Jersey,282090,277140,+1.79,24.1  ,62.4 ,11691 ,4514,"https://en.wikipedia.org/wiki/Newark,_New_Jersey",862/973,essex,24.187   ,ras baraka ,nan,utc−4 (eastern (edt)),faulkner act ,1.920  ," Newark  is the most populous city in the U.S. state of New Jersey and the seat of Essex County. As one of the nation's major air, shipping, and rail hubs, the city had a population of 285,154 in 2017, making it the nation's 70th-most populous municipality, after being ranked 63rd in the nation in 2000.Settled in 1666 by Puritans from New Haven Colony, Newark is one of the oldest cities in the United States. Its location at the mouth of the Passaic River  has made the city's waterfront an integral part of the Port of New York and New Jersey. Today, Port Newark–Elizabeth is the primary container shipping terminal of the busiest seaport on the American East Coast. In addition, Newark Liberty International Airport was the first municipal commercial airport in the United States, and today is one of its busiest.", 40.724, -74.1726,USA
74,Toledo,Ohio,274975,287208,−4.26,80.7  ,209.0 ,3451 ,1332,"https://en.wikipedia.org/wiki/Toledo,_Ohio",419/ 567,lucas,80.69   ,wade kapszukiewicz ,608145 ,utc−4 (edt),nan,3.43  ," Toledo  is a city in and the county seat of Lucas County, Ohio, United States. Toledo is in northwest Ohio, at the western end of Lake Erie bordering the state of Michigan. The city was founded in 1833 on the west bank of the Maumee River, and originally incorporated as part of Monroe County, Michigan Territory. It was re-founded in 1837, after conclusion of the Toledo War, when it was incorporated in Ohio.After the 1845 completion of the Miami and Erie Canal, Toledo grew quickly; it also benefited from its position on the railway line between New York City and Chicago. The first of many glass manufacturers arrived in the 1880s, eventually earning Toledo its nickname: ""The Glass City."" It has since become a city with an art community, auto assembly businesses, education, healthcare, and local sports teams.", 41.664, -83.5819,USA
75,Durham,North Carolina,274291,228330,+20.13,109.8  ,284.4 ,2395 ,925,"https://en.wikipedia.org/wiki/Durham,_North_Carolina",919,"durham, wake",107.4   ,steve schewel,542710 ,utc−4 (edt),council-manager,0.9  ," Durham is a city in and the county seat of Durham County in the U.S. state of North Carolina.The U.S. Census Bureau estimated the city's population to be 251,893 as of July 1, 2014, making it the 4th-most populous city in North Carolina, and the 78th-most populous city in the United States. Durham is the core of the four-county Durham-Chapel Hill Metropolitan Area, which has a population of 542,710 as of U.S. Census 2014 Population Estimates. The US Office of Management and Budget also includes Durham as a part of the Raleigh-Durham-Chapel Hill Combined Statistical Area, which has a population of 2,037,430 as of U.S. Census 2014 Population Estimates.It is the home of Duke University and North Carolina Central University, and is also one of the vertices of the Research Triangle area .", 35.981, -78.9029,USA
76,Chula Vista,California,271651,243916,+11.37,49.6  ,128.5 ,5387 ,2080,"https://en.wikipedia.org/wiki/Chula_Vista,_California",619,san diego,49.63   ,nan,san diego–tijuana: 5105768,utc-7 (pdt),council-manager,2.46  ," Chula Vista  is the second largest city in the San Diego metropolitan area, the seventh largest city in Southern California, the fourteenth largest city in the state of California, and the 74th-largest city in the United States. The population was 243,916 as of the 2010 census.Located just 7.5 miles  from downtown San Diego and 7.5 miles  from the Mexican border in the South Bay region of the metropolitan area, the city is at the center of one of the richest economic and culturally diverse zones in the United States. Chula Vista is so named because of its scenic location between the San Diego Bay and coastal mountain foothills.",32.6277,-117.0152,USA
77,Fort Wayne,Indiana,267633,253691,+5.50,110.6  ,286.5 ,2391 ,923,"https://en.wikipedia.org/wiki/Fort_Wayne,_Indiana",260,allen,110.63   ,tom henry ,419453 ,utc−04:00 (edt),mayor–council,0.21  ," Fort Wayne is a city in the U.S. state of Indiana and the seat of Allen County, United States. Located in northeastern Indiana, the city is 18 miles  west of the Ohio border and 50 miles  south of the Michigan border. With a population of 253,691 in the 2010 census, it is the second-most populous city in Indiana after Indianapolis, and the 75th-most populous city in the United States. It is the principal city of the Fort Wayne metropolitan area, consisting of Allen, Wells, and Whitley counties, a combined population of 419,453 as of 2011. Fort Wayne is the cultural and economic center of northeastern Indiana. The city is within a 300-mile  radius of major population centers, including Chicago, Cincinnati, Cleveland, Columbus, Detroit, Indianapolis, Louisville, Lexington, and Milwaukee. In addition to the three core counties, the combined statistical area  includes Adams, DeKalb, Huntington, Noble, and Steuben counties, with an estimated population of 615,077.Fort Wayne was built in 1794 by the United States Army under the direction of American Revolutionary War general Anthony Wayne, the last in a series of forts built near the Miami village of Kekionga. Named in Wayne's honor, the European-American settlement developed at the confluence of the St. Joseph, St. Marys, and Maumee rivers as a trading post for pioneers. The village was platted in 1823 and underwent tremendous growth after completion of the Wabash and Erie Canal and advent of the railroad. Once a booming manufacturing town located in what became known as the Rust Belt, Fort Wayne's economy in the 21st century is based upon distribution, transportation and logistics, healthcare, professional and business services, leisure and hospitality, and financial services. The city is a center for the defense industry which employs thousands. There are also many jobs through local healthcare providers Parkview Health and Lutheran Health Network.", 41.088, -85.1439,USA
78,Jersey City,New Jersey,265549,247597,+7.25,14.8  ,38.3 ,17848 ,6891,"https://en.wikipedia.org/wiki/Jersey_City,_New_Jersey",201,hudson,14.794   ,steven fulop,nan,utc−4 (eastern (edt)),faulkner act ,6.286  ," Jersey City is the second most populous city in the U.S. state of New Jersey, after Newark. It is the seat of Hudson County as well as the county's largest city. As of 2017, the Census Bureau's Population Estimates Program calculated that Jersey City's population was 270,753, with the largest population increase of any municipality in New Jersey since 2010, an increase of about 9.4% from the 2010 United States Census, when the city's population was at 247,597. ranking the city the 75th-most-populous in the nation.Part of the New York metropolitan area, Jersey City is bounded on the east by the Hudson River and Upper New York Bay and on the west by the Hackensack River and Newark Bay. A port of entry, with 30.7 miles  of waterfront and extensive rail infrastructure and connectivity, the city is an important transportation terminus and distribution and manufacturing center for the Port of New York and New Jersey. Jersey City shares significant mass transit connections with Manhattan. Redevelopment of the Jersey City waterfront has made the city one of the largest centers of banking and finance in the United States and has led to the district being nicknamed Wall Street West.", 40.711, -74.0648,USA
79,St. Petersburg,Florida,265098,244769,+8.31,61.8  ,160.1 ,4223 ,1631,"https://en.wikipedia.org/wiki/St._Petersburg,_Florida",nan,nan,nan,nan,nan,,nan,nan," St. Petersburg is a city in Pinellas County, Florida, United States. As of the 2015 census estimate, the population was 257,083, making it the fifth-most populous city in Florida and the largest in the state that is not a county seat .St. Petersburg is the second-largest city in the Tampa Bay Area, after Tampa. Together with Clearwater, these cities comprise the Tampa–St. Petersburg–Clearwater Metropolitan Statistical Area, the second-largest in Florida with a population of around 2.8 million. St. Petersburg is located on the Pinellas peninsula between Tampa Bay and the Gulf of Mexico, and is connected to mainland Florida to the north.", 27.762, -82.6441,USA
80,Laredo,Texas,261639,236091,+10.82,101.1  ,261.8 ,2544 ,982,"https://en.wikipedia.org/wiki/Laredo,_Texas",956,webb,101.1   ,pete saenz ,259172 ,utc−5 (cst),council-manager,1.5  ," According to the 2010 census, the city population was 236,091, making it the tenth-most populous city in the state of Texas and third-most populated on the Mexico–United States border, after San Diego, California, and El Paso, Texas. Its metropolitan area is the 178th-largest in the U.S. and includes all of Webb County, with a population of 250,304. Laredo is also part of the cross-border Laredo-Nuevo Laredo Metropolitan Area with an estimated population of 636,516.Because Laredo is 95.6 percent Hispanic and Latino, it is one of the least ethnically diverse cities in the United States. When economic diversity, household diversity, and social class diversity are considered, Laredo is rated the 19th least diverse city overall out of the 313 largest cities in the nation.", 27.560, -99.4892,USA
81,Madison,Wisconsin,258054,233209,+10.65,77.0  ,199.4 ,3280 ,1270,"https://en.wikipedia.org/wiki/Madison,_Wisconsin",nan,dane,78.95   ,satya rhodes-conway ,654230 ,utc−5 (cdt),nan,21.96  ," Madison is the capital of the U.S. state of Wisconsin and the seat of Dane County. As of July 1, 2017, Madison's estimated population of 255,214 made it the second-largest city in Wisconsin by population, after Milwaukee, and the 82nd-largest in the United States. The city forms the core of the Madison Metropolitan Area which includes Dane County and neighboring Iowa, Green, and Columbia counties for a population of 654,230.Located on an isthmus between Lake Mendota and Lake Monona, the city is home to the University of Wisconsin–Madison, the Wisconsin State Capitol, Henry Vilas Zoo, lakes, and an extensive network of parks and bike trails. Madison has historically been a location for political activity, protests, and demonstrations.", 43.087, -89.4299,USA
82,Chandler,Arizona,257165,236123,+8.91,64.9  ,168.1 ,3813 ,1472,"https://en.wikipedia.org/wiki/Chandler,_Arizona",480,maricopa,64.94   ,kevin hartke,nan,,council-manager,0.10  ," Chandler is a city in Maricopa County, Arizona, United States, and a prominent suburb of the Phoenix, Arizona, Metropolitan Statistical Area . It is bordered to the north and west by Tempe, to the north by Mesa, to the west by Phoenix, to the south by the Gila River Indian Community, and to the east by Gilbert. As of 2017, the population was estimated at 253,458 according to the United States Census Bureau.In 1891, Dr. Alexander John Chandler, the first veterinary surgeon in Arizona Territory, settled on a ranch south of Mesa, studying irrigation engineering. By 1900, he had acquired 18,000 acres  of land, and began drawing up plans for a townsite on what was then known as the Chandler Ranch. The townsite office opened on May 17, 1912, the same year that Chandler High School was established. The townsite was bounded by Galveston Street on the north, Frye Road on the south, Hartford Street on the west, and Hamilton Street on the east. By 1913, a town center had become established, featuring the Hotel San Marcos, the first golf resort in the state.",33.2829,-111.8549,USA
